id,stock_id,movement_type,quantity,reference_id,movement_date
178,178,INBOUND,51,52,2023-08-11 11:07:04
179,179,INBOUND,93,45,2023-07-17 11:07:04
180,180,INBOUND,47,84,2023-07-25 11:07:04
181,181,INBOUND,69,13,2023-08-15 11:07:04
182,182,INBOUND,115,94,2023-07-26 11:07:04
183,183,INBOUND,104,84,2023-08-14 11:07:04
184,184,INBOUND,58,25,2023-08-04 11:07:04
185,185,INBOUND,81,28,2023-07-22 11:07:04
186,186,INBOUND,95,79,2023-08-01 11:07:04
187,187,INBOUND,55,81,2023-08-02 11:07:04
188,188,INBOUND,75,55,2023-08-05 11:07:04
189,189,INBOUND,31,67,2023-08-09 11:07:04
190,190,INBOUND,202,34,2023-08-01 11:07:04
191,191,INBOUND,7,77,2023-07-31 11:07:04
192,192,INBOUND,76,41,2023-08-11 11:07:04
193,193,INBOUND,19,16,2023-08-08 11:07:04
194,194,INBOUND,10,75,2023-07-21 11:07:04
195,195,INBOUND,31,34,2023-08-14 11:07:04
196,196,INBOUND,24,37,2023-07-19 11:07:04
197,197,INBOUND,10,40,2023-07-31 11:07:04
198,198,INBOUND,26,26,2023-07-30 11:07:04
199,199,INBOUND,239,18,2023-07-21 11:07:04
200,200,INBOUND,27,54,2023-07-27 11:07:04
201,201,INBOUND,53,36,2023-07-17 11:07:04
202,202,INBOUND,31,12,2023-07-18 11:07:04
203,203,INBOUND,135,43,2023-08-15 11:07:04
204,204,INBOUND,9,86,2023-07-21 11:07:04
205,205,INBOUND,19,80,2023-07-23 11:07:04
206,206,INBOUND,87,78,2023-07-23 11:07:04
207,207,INBOUND,55,91,2023-07-27 11:07:04
208,208,INBOUND,58,59,2023-07-16 11:07:04
209,209,INBOUND,247,12,2023-08-06 11:07:04
210,210,INBOUND,109,78,2023-07-18 11:07:04
211,211,INBOUND,31,20,2023-07-17 11:07:04
212,212,INBOUND,238,53,2023-08-15 11:07:04
213,213,INBOUND,18,94,2023-07-17 11:07:04
214,214,INBOUND,57,52,2023-07-27 11:07:04
215,215,INBOUND,160,44,2023-08-05 11:07:04
216,216,INBOUND,259,19,2023-07-26 11:07:04
217,217,INBOUND,42,26,2023-07-27 11:07:04
218,218,INBOUND,34,84,2023-08-06 11:07:04
219,219,INBOUND,209,58,2023-07-31 11:07:04
220,220,INBOUND,88,53,2023-07-26 11:07:04
221,221,INBOUND,144,88,2023-07-26 11:07:04
222,222,INBOUND,59,41,2023-07-30 11:07:04
223,223,INBOUND,57,21,2023-07-29 11:07:04
224,224,INBOUND,30,29,2023-07-26 11:07:04
225,225,INBOUND,13,76,2023-08-05 11:07:04
226,226,INBOUND,22,67,2023-07-23 11:07:04
227,227,INBOUND,286,45,2023-07-26 11:07:04
228,228,INBOUND,54,99,2023-08-14 11:07:04
229,229,INBOUND,177,68,2023-07-30 11:07:04
230,230,INBOUND,55,42,2023-08-11 11:07:04
231,231,INBOUND,97,65,2023-08-07 11:07:04
232,232,INBOUND,36,94,2023-08-01 11:07:04
233,233,INBOUND,165,35,2023-07-25 11:07:04
234,234,INBOUND,182,70,2023-08-14 11:07:04
235,235,INBOUND,49,10,2023-08-10 11:07:04
236,236,INBOUND,18,11,2023-07-16 11:07:04
237,237,INBOUND,44,47,2023-08-08 11:07:04
238,238,INBOUND,131,80,2023-08-04 11:07:04
239,239,INBOUND,48,78,2023-07-16 11:07:04
240,240,INBOUND,46,55,2023-08-01 11:07:04
241,241,INBOUND,159,23,2023-07-18 11:07:04
242,242,INBOUND,25,94,2023-07-30 11:07:04
243,243,INBOUND,266,38,2023-08-12 11:07:04
244,244,INBOUND,41,33,2023-07-18 11:07:04
245,245,INBOUND,286,71,2023-07-23 11:07:04
246,246,INBOUND,257,57,2023-07-19 11:07:04
247,247,INBOUND,289,86,2023-07-16 11:07:04
248,248,INBOUND,160,42,2023-08-06 11:07:04
249,249,INBOUND,210,14,2023-07-26 11:07:04
250,250,INBOUND,62,67,2023-08-08 11:07:04
251,251,INBOUND,44,44,2023-07-31 11:07:04
252,252,INBOUND,39,52,2023-07-26 11:07:04
253,253,INBOUND,73,51,2023-07-31 11:07:04
254,254,INBOUND,15,99,2023-08-05 11:07:04
255,255,INBOUND,16,24,2023-07-16 11:07:04
256,256,INBOUND,16,96,2023-08-14 11:07:04
257,257,INBOUND,45,25,2023-08-09 11:07:04
258,258,INBOUND,244,33,2023-08-03 11:07:04
259,259,INBOUND,29,16,2023-07-29 11:07:04
260,260,INBOUND,34,95,2023-07-20 11:07:04
261,261,INBOUND,30,53,2023-07-16 11:07:04
262,262,INBOUND,13,72,2023-07-26 11:07:04
263,263,INBOUND,10,66,2023-08-08 11:07:04
264,264,INBOUND,33,45,2023-07-16 11:07:04
265,265,INBOUND,11,61,2023-07-26 11:07:04
266,266,INBOUND,42,46,2023-07-23 11:07:04
267,267,INBOUND,134,98,2023-08-08 11:07:04
268,268,INBOUND,253,96,2023-08-12 11:07:04
269,269,INBOUND,257,71,2023-08-02 11:07:04
270,270,INBOUND,19,89,2023-07-31 11:07:04
271,271,INBOUND,31,11,2023-08-08 11:07:04
272,272,INBOUND,221,68,2023-08-01 11:07:04
273,273,INBOUND,50,67,2023-08-02 11:07:04
274,274,INBOUND,147,34,2023-07-24 11:07:04
275,275,INBOUND,25,67,2023-08-08 11:07:04
276,276,INBOUND,38,29,2023-07-30 11:07:04
277,277,INBOUND,233,37,2023-07-21 11:07:04
278,278,INBOUND,10,12,2023-07-30 11:07:04
279,279,INBOUND,13,51,2023-07-18 11:07:04
280,280,INBOUND,212,10,2023-08-08 11:07:04
281,281,INBOUND,91,23,2023-08-13 11:07:04
282,282,INBOUND,20,97,2023-07-17 11:07:04
283,283,INBOUND,52,15,2023-08-04 11:07:04
284,284,INBOUND,111,73,2023-07-19 11:07:04
285,285,INBOUND,251,12,2023-07-29 11:07:04
286,286,INBOUND,19,92,2023-07-21 11:07:04
287,287,INBOUND,117,31,2023-08-01 11:07:04
288,288,INBOUND,16,78,2023-07-22 11:07:04
289,289,INBOUND,56,98,2023-08-09 11:07:04
290,290,INBOUND,19,82,2023-07-20 11:07:04
291,291,INBOUND,180,47,2023-08-13 11:07:04
292,292,INBOUND,14,44,2023-08-09 11:07:04
293,293,INBOUND,17,30,2023-07-31 11:07:04
294,294,INBOUND,61,23,2023-08-09 11:07:04
295,295,INBOUND,268,28,2023-08-03 11:07:04
296,296,INBOUND,251,36,2023-07-30 11:07:04
297,297,INBOUND,258,64,2023-08-05 11:07:04
298,298,INBOUND,17,71,2023-08-12 11:07:04
299,299,INBOUND,198,90,2023-08-05 11:07:04
300,300,INBOUND,31,22,2023-08-02 11:07:04
301,301,INBOUND,296,12,2023-07-31 11:07:04
302,302,INBOUND,53,51,2023-07-17 11:07:04
303,303,INBOUND,17,44,2023-07-21 11:07:04
304,304,INBOUND,217,35,2023-07-29 11:07:04
305,305,INBOUND,15,35,2023-08-12 11:07:04
306,306,INBOUND,257,66,2023-08-04 11:07:04
307,307,INBOUND,248,26,2023-08-06 11:07:04
308,308,INBOUND,96,88,2023-08-10 11:07:04
309,309,INBOUND,267,36,2023-07-30 11:07:04
310,310,INBOUND,95,82,2023-07-26 11:07:04
311,311,INBOUND,19,31,2023-07-26 11:07:04
312,312,INBOUND,200,17,2023-08-06 11:07:04
313,313,INBOUND,54,42,2023-08-10 11:07:04
314,314,INBOUND,19,12,2023-07-28 11:07:04
315,315,INBOUND,126,81,2023-07-27 11:07:04
316,316,INBOUND,224,67,2023-07-27 11:07:04
317,317,INBOUND,35,24,2023-07-20 11:07:04
318,318,INBOUND,243,24,2023-08-15 11:07:04
319,319,INBOUND,51,38,2023-07-18 11:07:04
320,320,INBOUND,59,28,2023-08-11 11:07:04
321,321,INBOUND,52,19,2023-08-03 11:07:04
322,322,INBOUND,226,74,2023-07-29 11:07:04
323,323,INBOUND,59,99,2023-08-10 11:07:04
324,324,INBOUND,99,70,2023-07-28 11:07:04
325,325,INBOUND,56,25,2023-07-24 11:07:04
326,326,INBOUND,37,14,2023-08-09 11:07:04
327,327,INBOUND,41,77,2023-07-24 11:07:04
328,328,INBOUND,75,81,2023-08-12 11:07:04
329,329,INBOUND,35,27,2023-07-29 11:07:04
330,330,INBOUND,279,65,2023-08-06 11:07:04
331,331,INBOUND,185,72,2023-08-05 11:07:04
332,332,INBOUND,21,55,2023-08-04 11:07:04
333,333,INBOUND,22,98,2023-07-22 11:07:04
334,334,INBOUND,173,46,2023-08-03 11:07:04
335,335,INBOUND,28,57,2023-07-30 11:07:04
336,336,INBOUND,113,74,2023-07-20 11:07:04
337,337,INBOUND,42,18,2023-07-28 11:07:04
338,338,INBOUND,25,30,2023-08-13 11:07:04
339,339,INBOUND,134,17,2023-08-10 11:07:04
340,340,INBOUND,37,60,2023-07-16 11:07:04
341,341,INBOUND,179,26,2023-08-12 11:07:04
342,342,INBOUND,104,61,2023-07-26 11:07:04
343,343,INBOUND,209,79,2023-07-20 11:07:04
344,344,INBOUND,157,59,2023-08-12 11:07:04
345,345,INBOUND,128,84,2023-08-06 11:07:04
346,346,INBOUND,215,59,2023-07-19 11:07:04
347,347,INBOUND,275,100,2023-07-24 11:07:04
348,348,INBOUND,224,32,2023-07-31 11:07:04
349,349,INBOUND,11,58,2023-07-22 11:07:04
350,350,INBOUND,231,51,2023-07-30 11:07:04
351,351,INBOUND,98,38,2023-08-04 11:07:04
352,352,INBOUND,43,40,2023-07-23 11:07:04
353,353,INBOUND,6,56,2023-08-10 11:07:04
354,354,INBOUND,39,76,2023-08-10 11:07:04
355,355,INBOUND,49,41,2023-07-29 11:07:04
356,356,INBOUND,200,79,2023-07-27 11:07:04
357,357,INBOUND,161,17,2023-08-04 11:07:04
358,358,INBOUND,213,55,2023-08-08 11:07:04
359,359,INBOUND,274,44,2023-08-10 11:07:04
360,360,INBOUND,89,100,2023-08-06 11:07:04
361,361,INBOUND,194,86,2023-07-16 11:07:04
362,362,INBOUND,33,73,2023-08-05 11:07:04
363,363,INBOUND,53,35,2023-07-17 11:07:04
364,364,INBOUND,80,40,2023-07-23 11:07:04
365,365,INBOUND,18,70,2023-08-13 11:07:04
366,366,INBOUND,204,93,2023-08-05 11:07:04
367,367,INBOUND,263,38,2023-08-01 11:07:04
368,368,INBOUND,146,71,2023-07-20 11:07:04
369,369,INBOUND,282,27,2023-07-26 11:07:04
370,370,INBOUND,13,62,2023-07-31 11:07:04
371,371,INBOUND,25,40,2023-07-27 11:07:04
372,372,INBOUND,13,16,2023-07-16 11:07:04
373,373,INBOUND,8,95,2023-08-09 11:07:04
374,374,INBOUND,18,86,2023-07-23 11:07:04
375,375,INBOUND,52,45,2023-08-06 11:07:04
376,376,INBOUND,19,43,2023-07-17 11:07:04
377,377,INBOUND,236,91,2023-08-06 11:07:04
378,378,INBOUND,53,48,2023-07-26 11:07:04
379,379,INBOUND,7,75,2023-07-27 11:07:04
380,380,INBOUND,218,18,2023-08-12 11:07:04
381,381,INBOUND,226,62,2023-07-27 11:07:04
382,382,INBOUND,7,63,2023-07-20 11:07:04
383,383,INBOUND,206,82,2023-07-26 11:07:04
384,384,INBOUND,237,86,2023-07-21 11:07:04
385,385,INBOUND,23,73,2023-07-29 11:07:04
386,386,INBOUND,18,97,2023-07-17 11:07:04
387,387,INBOUND,8,68,2023-07-16 11:07:04
388,388,INBOUND,18,35,2023-07-22 11:07:04
389,389,INBOUND,83,16,2023-08-10 11:07:04
390,390,INBOUND,30,73,2023-07-17 11:07:04
391,391,INBOUND,17,19,2023-07-24 11:07:04
392,392,INBOUND,202,91,2023-08-06 11:07:04
393,393,INBOUND,16,63,2023-08-06 11:07:04
394,394,INBOUND,26,75,2023-07-23 11:07:04
395,395,INBOUND,15,28,2023-07-28 11:07:04
396,396,INBOUND,29,97,2023-07-22 11:07:04
397,397,INBOUND,55,81,2023-07-18 11:07:04
398,398,INBOUND,35,82,2023-08-09 11:07:04
399,399,INBOUND,11,11,2023-07-23 11:07:04
400,400,INBOUND,127,53,2023-08-01 11:07:04
401,401,INBOUND,205,58,2023-07-31 11:07:04
402,402,INBOUND,278,87,2023-07-21 11:07:04
403,403,INBOUND,225,28,2023-07-21 11:07:04
404,404,INBOUND,295,27,2023-08-07 11:07:04
405,405,INBOUND,19,97,2023-08-03 11:07:04
406,406,INBOUND,55,91,2023-08-12 11:07:04
407,407,INBOUND,36,44,2023-08-10 11:07:04
408,408,INBOUND,66,83,2023-07-21 11:07:04
409,409,INBOUND,38,29,2023-08-10 11:07:04
410,410,INBOUND,294,97,2023-07-27 11:07:04
411,411,INBOUND,34,23,2023-08-07 11:07:04
412,412,INBOUND,46,13,2023-07-22 11:07:04
413,413,INBOUND,184,86,2023-08-13 11:07:04
414,414,INBOUND,26,19,2023-08-15 11:07:04
415,415,INBOUND,47,93,2023-08-01 11:07:04
416,416,INBOUND,48,68,2023-07-20 11:07:04
417,417,INBOUND,15,13,2023-08-01 11:07:04
418,418,INBOUND,15,55,2023-07-28 11:07:04
419,419,INBOUND,288,95,2023-08-15 11:07:04
420,420,INBOUND,154,10,2023-08-14 11:07:04
421,421,INBOUND,83,99,2023-08-09 11:07:04
422,422,INBOUND,162,63,2023-07-28 11:07:04
423,423,INBOUND,132,52,2023-07-30 11:07:04
424,424,INBOUND,19,35,2023-07-25 11:07:04
425,425,INBOUND,36,49,2023-08-15 11:07:04
426,426,INBOUND,200,97,2023-08-02 11:07:04
427,427,INBOUND,78,90,2023-08-04 11:07:04
428,428,INBOUND,80,51,2023-07-28 11:07:04
429,429,INBOUND,9,15,2023-08-04 11:07:04
430,430,INBOUND,71,19,2023-07-18 11:07:04
431,431,INBOUND,18,57,2023-08-11 11:07:04
432,432,INBOUND,16,66,2023-08-10 11:07:04
433,433,INBOUND,35,61,2023-07-31 11:07:04
434,434,INBOUND,30,10,2023-07-16 11:07:04
435,435,INBOUND,50,79,2023-07-18 11:07:04
436,436,INBOUND,126,81,2023-08-01 11:07:04
437,437,INBOUND,14,88,2023-08-05 11:07:04
438,438,INBOUND,252,29,2023-08-14 11:07:04
439,439,INBOUND,5,78,2023-08-12 11:07:04
440,440,INBOUND,16,22,2023-08-10 11:07:04
441,441,INBOUND,19,85,2023-07-18 11:07:04
442,442,INBOUND,258,46,2023-07-28 11:07:04
443,443,INBOUND,297,48,2023-08-10 11:07:04
444,444,INBOUND,16,55,2023-07-18 11:07:04
445,445,INBOUND,51,84,2023-08-14 11:07:04
446,446,INBOUND,205,90,2023-08-03 11:07:04
447,447,INBOUND,18,29,2023-08-11 11:07:04
448,448,INBOUND,10,52,2023-07-19 11:07:04
449,449,INBOUND,167,66,2023-08-11 11:07:04
450,450,INBOUND,8,23,2023-08-15 11:07:04
451,451,INBOUND,57,99,2023-08-15 11:07:04
452,452,INBOUND,14,38,2023-07-18 11:07:04
453,453,INBOUND,183,27,2023-07-17 11:07:04
454,454,INBOUND,182,74,2023-08-08 11:07:04
455,455,INBOUND,51,13,2023-07-23 11:07:04
456,456,INBOUND,9,52,2023-08-03 11:07:04
457,457,INBOUND,53,65,2023-08-10 11:07:04
458,458,INBOUND,36,17,2023-08-06 11:07:04
459,459,INBOUND,6,84,2023-07-23 11:07:04
460,460,INBOUND,46,100,2023-07-27 11:07:04
461,461,INBOUND,50,41,2023-07-24 11:07:04
462,462,INBOUND,41,94,2023-08-15 11:07:04
463,463,INBOUND,19,51,2023-08-02 11:07:04
464,464,INBOUND,53,42,2023-08-13 11:07:04
465,465,INBOUND,23,62,2023-07-25 11:07:04
466,466,INBOUND,26,27,2023-07-30 11:07:04
467,467,INBOUND,295,38,2023-08-10 11:07:04
468,468,INBOUND,40,55,2023-08-08 11:07:04
469,469,INBOUND,29,74,2023-08-04 11:07:04
470,470,INBOUND,12,80,2023-07-16 11:07:04
471,471,INBOUND,55,51,2023-07-18 11:07:04
472,472,INBOUND,125,91,2023-07-27 11:07:04
473,473,INBOUND,15,64,2023-08-15 11:07:04
474,474,INBOUND,16,26,2023-08-03 11:07:04
475,475,INBOUND,167,64,2023-08-04 11:07:04
476,476,INBOUND,43,46,2023-08-02 11:07:04
477,477,INBOUND,45,21,2023-08-09 11:07:04
478,478,INBOUND,48,34,2023-07-25 11:07:04
479,479,INBOUND,20,12,2023-07-17 11:07:04
480,480,INBOUND,13,84,2023-07-18 11:07:04
481,481,INBOUND,258,43,2023-08-03 11:07:04
482,482,INBOUND,127,93,2023-07-19 11:07:04
483,483,INBOUND,69,30,2023-07-19 11:07:04
484,484,INBOUND,271,84,2023-07-29 11:07:04
485,485,INBOUND,15,16,2023-08-15 11:07:04
486,486,INBOUND,20,100,2023-08-04 11:07:04
487,487,INBOUND,176,82,2023-08-12 11:07:04
488,488,INBOUND,96,17,2023-08-01 11:07:04
489,489,INBOUND,265,22,2023-07-28 11:07:04
490,490,INBOUND,184,72,2023-07-30 11:07:04
491,491,INBOUND,171,42,2023-08-11 11:07:04
492,492,INBOUND,10,91,2023-08-09 11:07:04
493,493,INBOUND,21,63,2023-07-21 11:07:04
494,494,INBOUND,16,43,2023-08-05 11:07:04
495,495,INBOUND,54,82,2023-07-24 11:07:04
496,496,INBOUND,60,51,2023-07-24 11:07:04
497,497,INBOUND,214,85,2023-08-09 11:07:04
498,498,INBOUND,215,35,2023-07-16 11:07:04
499,499,INBOUND,11,39,2023-08-08 11:07:04
500,500,INBOUND,59,11,2023-07-16 11:07:04
501,501,INBOUND,16,36,2023-07-23 11:07:04
502,502,INBOUND,69,14,2023-08-11 11:07:04
503,503,INBOUND,71,32,2023-08-07 11:07:04
504,504,INBOUND,49,73,2023-07-27 11:07:04
505,505,INBOUND,260,87,2023-07-18 11:07:04
506,506,INBOUND,73,18,2023-08-10 11:07:04
507,507,INBOUND,15,22,2023-08-07 11:07:04
508,508,INBOUND,39,45,2023-07-17 11:07:04
509,509,INBOUND,54,27,2023-07-17 11:07:04
510,510,INBOUND,108,35,2023-07-24 11:07:04
511,511,INBOUND,113,59,2023-07-17 11:07:04
512,512,INBOUND,16,29,2023-07-31 11:07:04
513,513,INBOUND,46,41,2023-07-18 11:07:04
514,514,INBOUND,100,70,2023-07-21 11:07:04
515,515,INBOUND,18,12,2023-08-02 11:07:04
516,516,INBOUND,158,19,2023-07-29 11:07:04
